id,label,notes
ote8ijq,hot_take,
otee4zz,hot_take,
oteey9m,hot_take,
otegcs8,hot_take,
otb4y3g,hot_take,
otb7v2t,hot_take,
otdhob4,hot_take,
otdhsph,hot_take,
oteh2cp,hot_take,
otem3m1,hot_take,
otdj5ve,hot_take,
otdzbbm,analysis,
otb47vp,analysis,
ot9zzk0,analysis,
os1yxp7,analysis,
os30fws,analysis,
os1crvz,analysis,
orysqnj,analysis,
ortpsv7,analysis,
os0w5z1,reaction,
orv4og4,reaction,
otckn2k,reaction,
otb8lpo,joke,
os10uq4,joke,
orwmj5s,joke,
ortk27q,joke,
otcl7ow,joke,
otcna7s,joke,
otczhqa,joke,
ote5d7c,joke,
otcsj3m,joke,
otcvokb,joke,
otdr3m5,joke,
otcryxu,joke,
otd0zjm,joke,
otdeelv,joke,
otckwfk,joke,
otcl16k,joke,
otebbxc,joke,
otc8cnq,joke,
otdevuj,joke,
otduz23,joke,
otefu2b,joke,
otdprkn,joke,
otc7xe6,joke,
oteo8pr,,ambiguous: reasoned rebuttal (definition of corruption) w/ no hard evidence - analysis vs hot_take
otb2ni8,,ambiguous: brief technical point (merc battery) - thin analysis vs hot_take
ortf4kv,,ambiguous: structured reasons but about subjective excitement - analysis vs hot_take
os1q5zz,,ambiguous: hopeful sentiment + some reasoning - reaction vs analysis
otdbquj,,ambiguous: cites stats but admiring banter in a joke thread - analysis vs joke
otd68q1,,ambiguous: technical point wrapped in humor - analysis vs joke
otdtkuy,,ambiguous: anecdotal claim + gushing admiration - reaction vs hot_take
otek4bg,analysis,
ote5o78,analysis,
otegxey,analysis,
otdbptq,analysis,
otdft7b,analysis,
ote33vj,analysis,
otdsp6c,analysis,
ote2qj3,analysis,
otdci8r,analysis,
otdmjvp,analysis,
otdfaca,analysis,
otdwpjs,analysis,
otdpxv5,analysis,
otdjsw3,hot_take,
otdsv44,hot_take,
otdwrik,hot_take,
otdqero,hot_take,
ote1gzw,hot_take,
otc779r,hot_take,
otdvb9q,reaction,
otbadjk,reaction,
otbbjdd,reaction,
otbhwl9,reaction,
otc5frx,reaction,
otd9yet,reaction,
oted3q8,joke,
otdd4tl,joke,
otdhivm,joke,
otdosbp,joke,
otdpm4k,joke,
otbajgy,joke,
otbvbdr,joke,
otbz3nf,joke,
otbrsds,joke,
otc5y5c,joke,
otc9igz,joke,
otcq9i9,joke,
otcqfci,joke,
oteo6q8,joke,
otcd21o,joke,
otcr3ud,joke,
otct6pw,joke,
otd3m0m,joke,
otc62i4,joke,
otcgecu,joke,
otc6pli,joke,
otc6zio,joke,
otcf18d,joke,
otcx3j9,joke,
otcbk3p,joke,
ni1zjp9,hot_take,
ni2icfp,hot_take,
ni3m0iw,hot_take,
ni2gnyx,hot_take,
ni1r9tr,hot_take,
ne6lo31,hot_take,
ne7yi4g,hot_take,
ne9crgq,hot_take,
neb8h6q,hot_take,
nec6b6h,hot_take,
ne6hbo0,hot_take,
ne699lm,hot_take,
ne6a5m2,hot_take,
ne7lfdu,hot_take,
ne7se95,hot_take,
ne67d9s,hot_take,
o8xaxul,hot_take,
o8xe06h,hot_take,
o8xgsfv,hot_take,
ni4x7en,reaction,
ne6ean0,reaction,
ne7wjko,reaction,
o8xbydg,reaction,
o8xroxy,reaction,
ni4e8tn,analysis,
ni39jdv,analysis,
ni3hsis,analysis,
o8xepdu,analysis,
o8xvowa,analysis,
o8y396d,analysis,
o8yg8j1,analysis,
o8yzkyg,analysis,
noo4mmp,analysis,
noo5tw7,analysis,
nxwm3dg,analysis,
o8xrh2f,hot_take,
ncxrfb2,hot_take,
ncz5727,hot_take,
nd0y5d4,hot_take,
nd04iqr,hot_take,
ncz6ll4,hot_take,
nd2drvv,hot_take,
nxtyq2c,hot_take,
nxttb20,hot_take,
nxuuvv0,hot_take,
nxu122i,hot_take,
n2dzu7m,hot_take,
nopqjhf,reaction,
norfwnw,reaction,
ncynzm8,reaction,
ncywnl2,reaction,
nczqkpa,reaction,
nxtrrl4,reaction,
nxuedad,reaction,
ojlhjqt,reaction,
ojmyyeh,reaction,
ojlp71z,reaction,
ojls9te,reaction,
ojmrbjd,reaction,
ojlyx10,reaction,
ojm8jrk,reaction,
nd3p0gk,reaction,
nd8wufe,reaction,
nd4ipgz,reaction,
nd385z6,reaction,
nd42im2,hot_take,
n2fskor,hot_take,
o98142y,reaction,
nw8wjsm,reaction,
nwapmy3,reaction,
ngrchek,reaction,
nghy2aj,reaction,
nghjhd7,reaction,
nghtg0j,reaction,
ojn8ecv,reaction,
ojnwwgh,reaction,
ojnsdz1,reaction,
oiyz74h,reaction,
oiz2yjk,reaction,
oizumpl,reaction,
oiz57zs,reaction,
nu0ldwc,reaction,
nu0ogdu,reaction,
nu1lr7y,reaction,
ntv6s35,reaction,
oizcu1z,joke,
ofzm2xg,joke,
oss3vzn,analysis,
oswyo0c,analysis,
osrcdle,analysis,
osfx8pz,analysis,
oscku1b,analysis,
osccayd,analysis,
orz2x70,analysis,
ote1edz,analysis,
oryalej,analysis,
ory83uy,analysis,
ort9dm3,analysis,
orqexwy,analysis,
orrs8g0,analysis,
orq93x7,analysis,
orrnz85,analysis,
oso1sol,analysis,
ormchvp,analysis,
orfuf5c,analysis,
